"country","point_estimate","sample_size","sd","lower_ci","upper_ci","continent","subregion"
"Singapore",575,6606,103.652936668204,572,577,"Asia","South-Eastern Asia"
"Hong_Kong_China",540,5907,235.232666981524,534,546,"Asia","Eastern Asia"
"Japan",536,5760,212.928873062805,530,541,"Asia","Eastern Asia"
"Korea",527,6454,307.35917836434,520,535,"Asia","Eastern Asia"
"Estonia",510,6392,163.135330347194,506,514,"Europe","Northern Europe"
"Switzerland",508,6829,168.621700573984,504,512,"Europe","Western Europe"
"Canada",497,23073,232.489001849105,494,500,"North America","North America"
"Netherlands",493,5046,271.758157998481,485,500,"Europe","Western Europe"
"Ireland",492,5569,152.26710578293,488,496,"Europe","Northern Europe"
"Belgium",489,8286,208.964944630139,485,494,"Europe","Western Europe"
"Denmark",489,6200,160.665614848909,485,493,"Europe","Northern Europe"
"United_Kingdom",489,12972,232.420720469818,485,493,"Europe","Northern Europe"
"Austria",487,6151,180.032870402147,483,492,"Europe","Central Europe"
"Australia",487,13037,203.877106350052,484,491,"Oceania","Australia and New Zealand"
"Czech_Republic",487,8460,187.6873213068,483,491,"Europe","Central Europe"
"Slovenia",485,6721,104.551588615935,482,487,"Europe","Central Europe"
"Finland",484,10239,206.48538860748,480,488,"Europe","Northern Europe"
"Latvia",483,5373,149.562411544428,479,487,"Europe","Northern Europe"
"Sweden",482,6072,158.997826984091,478,486,"Europe","Northern Europe"
"New_Zealand",479,4682,139.609604111944,475,483,"Oceania","Australia and New Zealand"
"Lithuania",475,7257,152.098897093909,472,479,"Europe","Northern Europe"
"Germany",475,6116,239.359642751348,469,481,"Europe","Western Europe"
"France",474,6770,209.864308554485,469,479,"Europe","Western Europe"
"Spain",473,30800,268.615738176536,470,476,"Europe","Southern Europe"
"Hungary",473,6198,200.799611031627,468,478,"Europe","Central Europe"
"Portugal",472,6793,210.220623932774,467,477,"Europe","Southern Europe"
"Italy",471,10552,314.42764830584,465,477,"Europe","Southern Europe"
"Vietnam",469,6068,298.02267493878,462,477,"Asia","South-Eastern Asia"
"Malta",466,3127,85.5596338146412,463,469,"Europe","Southern Europe"
"United_States",465,4552,275.313498196573,457,473,"North America","North America"
"Slovak_Republic",464,5824,233.573496127336,458,470,"Europe","Central Europe"
"Croatia",463,6135,199.776082878749,458,468,"Europe","Southeast Europe"
"Iceland",459,3360,88.692374827953,456,462,"Europe","Northern Europe"
"Israel",458,6251,262.153646149743,451,464,"Asia","Western Asia"
"Turkey",453,7250,130.307570294266,450,456,"Europe","Western Asia"
"Serbia",440,6413,245.10478627833,434,446,"Europe","Southeast Europe"
"United_Arab_Emirates",431,24600,160.039832711141,429,433,"Asia","Western Asia"
"Greece",430,6403,183.685154665232,426,435,"Europe","Southern Europe"
"Romania",428,7364,350.209069384074,420,436,"Europe","Southeast Europe"
"Kazakhstan",425,19769,251.064733170313,422,429,"Asia","Central Asia"
"Mongolia",425,6999,213.385442980766,420,430,"Asia","Eastern Asia"
"Cyprus",418,6515,102.936269333092,416,421,"Europe","Southern Europe"
"Bulgaria",417,6107,259.115342713355,411,424,"Europe","Southeast Europe"
"Moldova",414,6235,181.258475567981,410,419,"Europe","Eastern Europe"
"Qatar",414,7676,89.3883443275681,412,416,"Asia","Western Asia"
"Chile",412,6488,164.356271901737,408,416,"South America","South America"
"Uruguay",409,6618,165.995316469595,405,413,"South America","South America"
"Malaysia",409,7069,193.005211695628,404,413,"Asia","South-Eastern Asia"
"Montenegro",406,5793,97.0628228085552,403,408,"Europe","Southeast Europe"
"Mexico",395,6288,161.802247282731,391,399,"North America","North America"
"Thailand",394,8495,235.094091978583,389,399,"Asia","South-Eastern Asia"
"Peru",391,6968,191.620971737089,387,396,"South America","South America"
"Georgia",390,6583,206.944539425346,385,395,"Asia","Western Asia"
"Saudi_Arabia",389,6928,148.609988827088,385,392,"Asia","Western Asia"
"North_Macedonia",389,6610,62.2105949237958,387,390,"Europe","Southeast Europe"
"Costa_Rica",385,6113,139.592195953561,381,388,"North America","Central America"
"Colombia",383,7804,270.392361623634,377,389,"South America","South America"
"Brazil",379,10798,159.036253903783,376,382,"South America","South America"
"Argentina",378,12111,252.645179381739,373,382,"South America","South America"
"Jamaica",377,3873,206.325656517282,371,384,"North America","Caribbean"
"Albania",368,6129,159.742664304697,364,372,"Europe","Southeast Europe"
"Palestinian_Authority",366,7905,158.746581068627,362,369,"Asia","Western Asia"
"Indonesia",366,13439,266.139159498148,361,370,"Asia","South-Eastern Asia"
"Morocco",365,6867,274.771841091638,358,371,"Africa","Northern Africa"
"Uzbekistan",364,7293,174.258076071556,360,368,"Asia","Central Asia"
"Jordan",361,7799,180.203800705776,357,365,"Asia","Western Asia"
"Panama",357,4544,189.111543119478,351,362,"North America","Central America"
"Kosovo",355,6027,79.2036618242079,353,357,"Europe","Southeast Europe"
"Philippines",355,7193,216.323573591041,350,360,"Asia","South-Eastern Asia"
"Guatemala",344,5190,165.366215915614,340,349,"North America","Central America"
"El_Salvador",343,6705,146.197830670234,340,347,"North America","Central America"
"Dominican_Republic",339,6868,126.827009587332,336,342,"North America","Caribbean"
"Paraguay",338,5084,163.667997025315,333,342,"South America","South America"
"Cambodia",336,5279,203.840663790112,331,342,"Asia","South-Eastern Asia"
"Macao_China",552,4384,67.5456260064838,550,554,"Asia","Eastern Asia"
"Chinese_Taipei",547,5857,273.273669559798,540,554,"Asia","Eastern Asia"
"Baku_Azerbaijan",397,7720,224.110631582517,392,402,"Europe","Western Asia"
"Brunei_Darussalam",442,5576,76.1814070078491,440,444,"Asia","South-Eastern Asia"
